name,nation,position,detailed_position,age,birth_date,matches_played,minutes_played,goals,assists,penalties_scored,yellow_cards,red_cards,team_name,team_code,team_logo_url,player_id,player_image_url,season
Willian Pacho,Ecuador,DEFENDER,UNKNOWN,24,2001-10-16,17,1542,0,0,0,0,0,Paris Saint-Germain,PSG,https://img.uefa.com/imgml/TP/teams/logos/240x240/52747.png,250174126,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250174126.jpg,2024-25
Achraf Hakimi,Morocco,DEFENDER,WINGER,27,1998-11-04,17,1540,4,5,0,3,0,Paris Saint-Germain,PSG,https://img.uefa.com/imgml/TP/teams/logos/240x240/52747.png,250088061,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250088061.jpg,2024-25
Nuno Mendes,Portugal,DEFENDER,FULL_BACK,23,2002-06-19,16,1449,4,2,0,4,0,Paris Saint-Germain,PSG,https://img.uefa.com/imgml/TP/teams/logos/240x240/52747.png,250136465,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250136465.jpg,2024-25
Vitinha,Portugal,MIDFIELDER,UNKNOWN,26,2000-02-13,17,1448,2,2,1,0,0,Paris Saint-Germain,PSG,https://img.uefa.com/imgml/TP/teams/logos/240x240/52747.png,250101444,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250101444.jpg,2024-25
Marquinhos,Brazil,DEFENDER,CENTRE_BACK,32,1994-05-14,16,1439,0,0,0,3,0,Paris Saint-Germain,PSG,https://img.uefa.com/imgml/TP/teams/logos/240x240/52747.png,250064064,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250064064.jpg,2024-25
João Neves,Portugal,MIDFIELDER,UNKNOWN,21,2004-09-27,17,1435,1,1,0,2,0,Paris Saint-Germain,PSG,https://img.uefa.com/imgml/TP/teams/logos/240x240/52747.png,250164991,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250164991.jpg,2024-25
Gianluigi Donnarumma,Italy,GOALKEEPER,GOALKEEPER,27,1999-02-25,15,1380,0,0,0,0,0,Paris Saint-Germain,PSG,https://img.uefa.com/imgml/TP/teams/logos/240x240/52747.png,250078922,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250078922.jpg,2024-25
Yann Sommer,Switzerland,GOALKEEPER,GOALKEEPER,37,1988-12-17,14,1290,0,0,0,0,0,FC Internazionale Milano,INT,https://img.uefa.com/imgml/TP/teams/logos/240x240/50138.png,97746,https://img.uefa.com/imgml/TP/players/1/2025/324x324/97746.jpg,2024-25
Joshua Kimmich,Germany,MIDFIELDER,CENTRE_BACK,31,1995-02-08,14,1260,0,6,0,1,0,FC Bayern München,BAY,https://img.uefa.com/imgml/TP/teams/logos/240x240/50037.png,250070417,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250070417.jpg,2024-25
Federico Valverde,Uruguay,MIDFIELDER,UNKNOWN,27,1998-07-22,14,1236,0,3,0,1,0,Real Madrid C.F.,RMA,https://img.uefa.com/imgml/TP/teams/logos/240x240/50051.png,250101284,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250101284.jpg,2024-25
