name,nation,position,detailed_position,age,birth_date,matches_played,minutes_played,goals,assists,penalties_scored,yellow_cards,red_cards,team_name,team_code,team_logo_url,player_id,player_image_url,season
Thibaut Courtois,Belgium,GOALKEEPER,GOALKEEPER,34,1992-05-11,13,1230,0,0,0,0,0,Real Madrid C.F.,RMA,https://img.uefa.com/imgml/TP/teams/logos/240x240/50051.png,250011668,https://img.uefa.com/imgml/TP/players/1/2022/324x324/250011668.jpg,2021-22
Vinícius Júnior,Brazil,FORWARD,UNKNOWN,25,2000-07-12,13,1199,4,6,0,1,0,Real Madrid C.F.,RMA,https://img.uefa.com/imgml/TP/teams/logos/240x240/50051.png,250121533,https://img.uefa.com/imgml/TP/players/1/2022/324x324/250121533.jpg,2021-22
Alisson Becker,Brazil,GOALKEEPER,GOALKEEPER,33,1992-10-02,13,1170,0,0,0,0,0,Liverpool FC,LIV,https://img.uefa.com/imgml/TP/teams/logos/240x240/7889.png,250099867,https://img.uefa.com/imgml/TP/players/1/2022/324x324/250099867.jpg,2021-22
Karim Benzema,France,FORWARD,STRIKER,38,1987-12-19,12,1106,15,1,3,1,0,Real Madrid C.F.,RMA,https://img.uefa.com/imgml/TP/teams/logos/240x240/50051.png,93321,https://img.uefa.com/imgml/TP/players/1/2022/324x324/93321.jpg,2021-22
Pau Torres,Spain,DEFENDER,CENTRE_BACK,29,1997-01-16,12,1080,1,0,0,1,0,Villarreal CF,VIL,https://img.uefa.com/imgml/TP/teams/logos/240x240/70691.png,250088461,https://img.uefa.com/imgml/TP/players/1/2022/324x324/250088461.jpg,2021-22
Gerónimo Rulli,Argentina,GOALKEEPER,GOALKEEPER,34,1992-05-20,12,1080,0,0,0,2,0,Villarreal CF,VIL,https://img.uefa.com/imgml/TP/teams/logos/240x240/70691.png,250073918,https://img.uefa.com/imgml/TP/players/1/2022/324x324/250073918.jpg,2021-22
Luka Modrić,Croatia,MIDFIELDER,CENTRAL_MIDFIELDER,40,1985-09-09,13,1077,0,4,0,1,0,Real Madrid C.F.,RMA,https://img.uefa.com/imgml/TP/teams/logos/240x240/50051.png,74699,https://img.uefa.com/imgml/TP/players/1/2022/324x324/74699.jpg,2021-22
Éder Militão,Brazil,DEFENDER,FULL_BACK,28,1998-01-18,12,1076,0,0,0,4,0,Real Madrid C.F.,RMA,https://img.uefa.com/imgml/TP/teams/logos/240x240/50051.png,250121965,https://img.uefa.com/imgml/TP/players/1/2022/324x324/250121965.jpg,2021-22
Daniel Parejo,Spain,MIDFIELDER,CENTRAL_MIDFIELDER,37,1989-04-16,12,1055,1,3,0,2,0,Villarreal CF,VIL,https://img.uefa.com/imgml/TP/teams/logos/240x240/70691.png,104033,https://img.uefa.com/imgml/TP/players/1/2022/324x324/104033.jpg,2021-22
Étienne Capoue,France,MIDFIELDER,DEFENSIVE_MIDFIELDER,37,1988-07-11,12,1046,2,4,0,3,1,Villarreal CF,VIL,https://img.uefa.com/imgml/TP/teams/logos/240x240/70691.png,108395,https://img.uefa.com/imgml/TP/players/1/2022/324x324/108395.jpg,2021-22
