name,nation,position,detailed_position,age,birth_date,matches_played,minutes_played,goals,assists,penalties_scored,yellow_cards,red_cards,team_name,team_code,team_logo_url,player_id,player_image_url,season
Mykola Matviyenko,Ukraine,DEFENDER,CENTRE_BACK,30,1996-05-02,6,540,0,0,0,1,0,FC Shakhtar Donetsk,SHK,https://img.uefa.com/imgml/TP/teams/logos/240x240/52707.png,250064444,https://img.uefa.com/imgml/TP/players/1/2023/324x324/250064444.jpg,2022-23
Lukas Hrádecký,Finland,GOALKEEPER,GOALKEEPER,36,1989-11-24,6,540,0,0,0,1,0,Bayer 04 Leverkusen,LEV,https://img.uefa.com/imgml/TP/teams/logos/240x240/50109.png,1907188,https://img.uefa.com/imgml/TP/players/1/2023/324x324/1907188.jpg,2022-23
Remko Pasveer,Netherlands,GOALKEEPER,GOALKEEPER,42,1983-11-08,6,540,0,0,0,0,0,AFC Ajax,AJX,https://img.uefa.com/imgml/TP/teams/logos/240x240/50143.png,98834,https://img.uefa.com/imgml/TP/players/1/2023/324x324/98834.jpg,2022-23
Hugo Lloris,France,GOALKEEPER,GOALKEEPER,39,1986-12-26,6,540,0,0,0,0,0,Tottenham Hotspur,TOT,https://img.uefa.com/imgml/TP/teams/logos/240x240/1652.png,93846,https://img.uefa.com/imgml/TP/players/1/2023/324x324/93846.jpg,2022-23
Joshua Cohen,USA,GOALKEEPER,UNKNOWN,33,1992-08-18,6,540,0,0,0,0,0,Maccabi Haifa FC,MHA,https://img.uefa.com/imgml/TP/teams/logos/240x240/59045.png,250132486,https://img.uefa.com/imgml/TP/players/1/2023/324x324/250132486.jpg,2022-23
Amar Dedić,Bosnia and Herzegovina,DEFENDER,UNKNOWN,23,2002-08-18,6,540,0,0,0,0,0,FC Salzburg,SAL,https://img.uefa.com/imgml/TP/teams/logos/240x240/50030.png,250126449,https://img.uefa.com/imgml/TP/players/1/2023/324x324/250126449.jpg,2022-23
Greg Taylor,Scotland,DEFENDER,FULL_BACK,28,1997-11-05,6,540,0,0,0,0,0,Celtic FC,CEL,https://img.uefa.com/imgml/TP/teams/logos/240x240/50050.png,250112842,https://img.uefa.com/imgml/TP/players/1/2023/324x324/250112842.jpg,2022-23
Josip Šutalo,Croatia,DEFENDER,CENTRE_BACK,26,2000-02-28,6,540,0,0,0,0,0,GNK Dinamo,DIN,https://img.uefa.com/imgml/TP/teams/logos/240x240/50164.png,250100914,https://img.uefa.com/imgml/TP/players/1/2023/324x324/250100914.jpg,2022-23
Philipp Köhn,Switzerland,GOALKEEPER,GOALKEEPER,28,1998-04-02,6,540,0,0,0,0,0,FC Salzburg,SAL,https://img.uefa.com/imgml/TP/teams/logos/240x240/50030.png,250090955,https://img.uefa.com/imgml/TP/players/1/2023/324x324/250090955.jpg,2022-23
Pau López,Spain,GOALKEEPER,GOALKEEPER,31,1994-12-13,6,540,0,0,0,0,0,Olympique de Marseille,MAR,https://img.uefa.com/imgml/TP/teams/logos/240x240/52748.png,250086637,https://img.uefa.com/imgml/TP/players/1/2023/324x324/250086637.jpg,2022-23
Dino Perić,Croatia,DEFENDER,CENTRE_BACK,31,1994-07-12,6,540,0,0,0,0,0,GNK Dinamo,DIN,https://img.uefa.com/imgml/TP/teams/logos/240x240/50164.png,250056738,https://img.uefa.com/imgml/TP/players/1/2023/324x324/250056738.jpg,2022-23
Dominik Livaković,Croatia,GOALKEEPER,GOALKEEPER,31,1995-01-09,6,540,0,0,0,0,0,GNK Dinamo,DIN,https://img.uefa.com/imgml/TP/teams/logos/240x240/50164.png,250042625,https://img.uefa.com/imgml/TP/players/1/2023/324x324/250042625.jpg,2022-23
Sean Goldberg,Israel,DEFENDER,FULL_BACK,30,1995-06-13,6,540,0,0,0,0,0,Maccabi Haifa FC,MHA,https://img.uefa.com/imgml/TP/teams/logos/240x240/59045.png,250042078,https://img.uefa.com/imgml/TP/players/1/2023/324x324/250042078.jpg,2022-23
Joe Hart,Unknown,GOALKEEPER,GOALKEEPER,39,1987-04-19,6,540,0,0,0,0,0,Celtic FC,CEL,https://img.uefa.com/imgml/TP/teams/logos/240x240/50050.png,104231,https://img.uefa.com/imgml/TP/players/1/2023/324x324/104231.jpg,2022-23
Neymar,Brazil,FORWARD,UNKNOWN,34,1992-02-05,6,539,2,3,0,4,0,Paris Saint-Germain,PSG,https://img.uefa.com/imgml/TP/teams/logos/240x240/52747.png,250039508,https://img.uefa.com/imgml/TP/players/1/2023/324x324/250039508.jpg,2022-23
Kingsley Coman,France,FORWARD,WINGER,29,1996-06-13,7,538,1,1,0,0,0,FC Bayern München,BAY,https://img.uefa.com/imgml/TP/teams/logos/240x240/50037.png,250054949,https://img.uefa.com/imgml/TP/players/1/2023/324x324/250054949.jpg,2022-23
Milan Škriniar,Slovakia,DEFENDER,CENTRE_BACK,31,1995-02-11,8,536,0,0,0,0,0,FC Internazionale Milano,INT,https://img.uefa.com/imgml/TP/teams/logos/240x240/50138.png,250041563,https://img.uefa.com/imgml/TP/players/1/2023/324x324/250041563.jpg,2022-23
André Silva,Portugal,FORWARD,STRIKER,30,1995-11-06,8,534,3,3,0,0,0,RB Leipzig,RBL,https://img.uefa.com/imgml/TP/teams/logos/240x240/2603790.png,250042521,https://img.uefa.com/imgml/TP/players/1/2023/324x324/250042521.jpg,2022-23
Taras Stepanenko,Ukraine,MIDFIELDER,DEFENSIVE_MIDFIELDER,36,1989-08-08,6,534,0,0,0,1,0,FC Shakhtar Donetsk,SHK,https://img.uefa.com/imgml/TP/teams/logos/240x240/52707.png,1902685,https://img.uefa.com/imgml/TP/players/1/2023/324x324/1902685.jpg,2022-23
David Raum,Germany,DEFENDER,UNKNOWN,28,1998-04-22,8,533,0,0,0,0,0,RB Leipzig,RBL,https://img.uefa.com/imgml/TP/teams/logos/240x240/2603790.png,250110361,https://img.uefa.com/imgml/TP/players/1/2023/324x324/250110361.jpg,2022-23
Edson Álvarez,Mexico,MIDFIELDER,CENTRE_BACK,28,1997-10-24,6,533,1,0,0,2,0,AFC Ajax,AJX,https://img.uefa.com/imgml/TP/teams/logos/240x240/50143.png,250090656,https://img.uefa.com/imgml/TP/players/1/2023/324x324/250090656.jpg,2022-23
Jamal Musiala,Germany,MIDFIELDER,UNKNOWN,23,2003-02-26,9,532,0,2,0,0,0,FC Bayern München,BAY,https://img.uefa.com/imgml/TP/teams/logos/240x240/50037.png,250124430,https://img.uefa.com/imgml/TP/players/1/2023/324x324/250124430.jpg,2022-23
Otávio,Portugal,MIDFIELDER,CENTRAL_MIDFIELDER,31,1995-02-09,7,530,0,2,0,3,1,FC Porto,POR,https://img.uefa.com/imgml/TP/teams/logos/240x240/50064.png,250085693,https://img.uefa.com/imgml/TP/players/1/2023/324x324/250085693.jpg,2022-23
Jurriën Timber,Netherlands,DEFENDER,FULL_BACK,24,2001-06-17,6,530,0,0,0,2,0,AFC Ajax,AJX,https://img.uefa.com/imgml/TP/teams/logos/240x240/50143.png,250101728,https://img.uefa.com/imgml/TP/players/1/2023/324x324/250101728.jpg,2022-23
Janis Blaswich,Germany,GOALKEEPER,UNKNOWN,35,1991-05-02,6,527,0,0,0,0,0,RB Leipzig,RBL,https://img.uefa.com/imgml/TP/teams/logos/240x240/2603790.png,250051291,https://img.uefa.com/imgml/TP/players/1/2023/324x324/250051291.jpg,2022-23
Luka Ivanušec,Croatia,FORWARD,ATTACKING_MIDFIELDER,27,1998-11-26,6,526,0,0,0,2,0,GNK Dinamo,DIN,https://img.uefa.com/imgml/TP/teams/logos/240x240/50164.png,250098468,https://img.uefa.com/imgml/TP/players/1/2023/324x324/250098468.jpg,2022-23
Mario Götze,Germany,MIDFIELDER,STRIKER,34,1992-06-03,7,524,0,2,0,2,0,Eintracht Frankfurt,FRA,https://img.uefa.com/imgml/TP/teams/logos/240x240/50072.png,250007605,https://img.uefa.com/imgml/TP/players/1/2023/324x324/250007605.jpg,2022-23
Denis Odoi,Ghana,DEFENDER,UNKNOWN,38,1988-05-27,7,524,0,0,0,4,0,Club Brugge KV,BRU,https://img.uefa.com/imgml/TP/teams/logos/240x240/50043.png,250012039,https://img.uefa.com/imgml/TP/players/1/2023/324x324/250012039.jpg,2022-23
Steven Bergwijn,Netherlands,FORWARD,UNKNOWN,28,1997-10-08,6,522,2,0,1,1,0,AFC Ajax,AJX,https://img.uefa.com/imgml/TP/teams/logos/240x240/50143.png,250066551,https://img.uefa.com/imgml/TP/players/1/2023/324x324/250066551.jpg,2022-23
Randal Kolo Muani,France,FORWARD,UNKNOWN,27,1998-12-05,7,521,2,0,0,1,1,Eintracht Frankfurt,FRA,https://img.uefa.com/imgml/TP/teams/logos/240x240/50072.png,250146926,https://img.uefa.com/imgml/TP/players/1/2023/324x324/250146926.jpg,2022-23
Tajon Buchanan,Canada,FORWARD,WINGER,27,1999-02-08,6,521,0,2,0,2,0,Club Brugge KV,BRU,https://img.uefa.com/imgml/TP/teams/logos/240x240/50043.png,250173127,https://img.uefa.com/imgml/TP/players/1/2023/324x324/250173127.jpg,2022-23
Josip Mišić,Croatia,MIDFIELDER,CENTRAL_MIDFIELDER,31,1994-06-28,6,521,0,0,0,1,0,GNK Dinamo,DIN,https://img.uefa.com/imgml/TP/teams/logos/240x240/50164.png,250052554,https://img.uefa.com/imgml/TP/players/1/2023/324x324/250052554.jpg,2022-23
Evanilson,Brazil,FORWARD,UNKNOWN,26,1999-10-06,8,516,1,1,0,0,0,FC Porto,POR,https://img.uefa.com/imgml/TP/teams/logos/240x240/50064.png,250145251,https://img.uefa.com/imgml/TP/players/1/2023/324x324/250145251.jpg,2022-23
Mohamed Simakan,France,DEFENDER,UNKNOWN,26,2000-05-03,7,515,1,3,0,1,0,RB Leipzig,RBL,https://img.uefa.com/imgml/TP/teams/logos/240x240/2603790.png,250132434,https://img.uefa.com/imgml/TP/players/1/2023/324x324/250132434.jpg,2022-23
Ferran Jutglà,Spain,FORWARD,STRIKER,27,1999-02-01,8,514,2,2,1,0,0,Club Brugge KV,BRU,https://img.uefa.com/imgml/TP/teams/logos/240x240/50043.png,250173126,https://img.uefa.com/imgml/TP/players/1/2023/324x324/250173126.jpg,2022-23
Jesper Lindstrøm,Denmark,MIDFIELDER,UNKNOWN,26,2000-02-29,7,513,1,0,0,0,0,Eintracht Frankfurt,FRA,https://img.uefa.com/imgml/TP/teams/logos/240x240/50072.png,250110724,https://img.uefa.com/imgml/TP/players/1/2023/324x324/250110724.jpg,2022-23
Lukáš Hejda,Czechia,DEFENDER,CENTRE_BACK,36,1990-03-09,6,513,0,0,0,0,0,FC Viktoria Plzeň,PLZ,https://img.uefa.com/imgml/TP/teams/logos/240x240/64388.png,107306,https://img.uefa.com/imgml/TP/players/1/2023/324x324/107306.jpg,2022-23
Mathías Olivera,Uruguay,DEFENDER,FULL_BACK,28,1997-10-31,8,512,0,2,0,1,0,SSC Napoli,NAP,https://img.uefa.com/imgml/TP/teams/logos/240x240/50136.png,250134196,https://img.uefa.com/imgml/TP/players/1/2023/324x324/250134196.jpg,2022-23
Clément Lenglet,France,DEFENDER,UNKNOWN,30,1995-06-17,7,512,1,0,0,3,0,Tottenham Hotspur,TOT,https://img.uefa.com/imgml/TP/teams/logos/240x240/1652.png,250042779,https://img.uefa.com/imgml/TP/players/1/2023/324x324/250042779.jpg,2022-23
Reinildo,Mozambique,DEFENDER,FULL_BACK,32,1994-01-21,6,512,0,0,0,2,0,Atlético de Madrid,ATM,https://img.uefa.com/imgml/TP/teams/logos/240x240/50124.png,250132831,https://img.uefa.com/imgml/TP/players/1/2023/324x324/250132831.jpg,2022-23
Ryan Kent,England,MIDFIELDER,WINGER,29,1996-11-11,6,510,0,0,0,0,0,Rangers FC,RAN,https://img.uefa.com/imgml/TP/teams/logos/240x240/50121.png,250076367,https://img.uefa.com/imgml/TP/players/1/2023/324x324/250076367.jpg,2022-23
Moussa Diaby,France,FORWARD,STRIKER,26,1999-07-07,6,509,2,0,0,0,0,Bayer 04 Leverkusen,LEV,https://img.uefa.com/imgml/TP/teams/logos/240x240/50109.png,250087432,https://img.uefa.com/imgml/TP/players/1/2023/324x324/250087432.jpg,2022-23
Simon Kjær,Denmark,DEFENDER,CENTRE_BACK,37,1989-03-26,6,509,0,0,0,0,0,AC Milan,MIL,https://img.uefa.com/imgml/TP/teams/logos/240x240/50058.png,108509,https://img.uefa.com/imgml/TP/players/1/2023/324x324/108509.jpg,2022-23
Matheus Reis,Brazil,DEFENDER,UNKNOWN,31,1995-02-18,6,508,0,0,0,2,0,Sporting Clube de Portugal,SPO,https://img.uefa.com/imgml/TP/teams/logos/240x240/50149.png,250121330,https://img.uefa.com/imgml/TP/players/1/2023/324x324/250121330.jpg,2022-23
Riyad Mahrez,Algeria,MIDFIELDER,WINGER,35,1991-02-21,9,506,3,2,1,0,0,Manchester City,MCI,https://img.uefa.com/imgml/TP/teams/logos/240x240/52919.png,250070687,https://img.uefa.com/imgml/TP/players/1/2023/324x324/250070687.jpg,2022-23
Rodrigo Bentancur,Uruguay,MIDFIELDER,UNKNOWN,28,1997-06-25,6,506,1,0,0,2,0,Tottenham Hotspur,TOT,https://img.uefa.com/imgml/TP/teams/logos/240x240/1652.png,250112826,https://img.uefa.com/imgml/TP/players/1/2023/324x324/250112826.jpg,2022-23
Timo Werner,Germany,FORWARD,STRIKER,30,1996-03-06,8,505,2,2,0,1,0,RB Leipzig,RBL,https://img.uefa.com/imgml/TP/teams/logos/240x240/2603790.png,250049183,https://img.uefa.com/imgml/TP/players/1/2023/324x324/250049183.jpg,2022-23
