name,nation,position,detailed_position,age,birth_date,matches_played,minutes_played,goals,assists,penalties_scored,yellow_cards,red_cards,team_name,team_code,team_logo_url,player_id,player_image_url,season
Mats Hummels,Germany,DEFENDER,CENTRE_BACK,37,1988-12-16,13,1170,1,1,0,4,0,Borussia Dortmund,BVB,https://img.uefa.com/imgml/TP/teams/logos/240x240/52758.png,106587,https://img.uefa.com/imgml/TP/players/1/2024/324x324/106587.jpg,2023-24
Kylian Mbappé,France,FORWARD,STRIKER,27,1998-12-20,12,1080,8,0,3,1,0,Paris Saint-Germain,PSG,https://img.uefa.com/imgml/TP/teams/logos/240x240/52747.png,250076574,https://img.uefa.com/imgml/TP/players/1/2024/324x324/250076574.jpg,2023-24
Joshua Kimmich,Germany,MIDFIELDER,CENTRE_BACK,31,1995-02-08,12,1080,1,2,0,2,0,FC Bayern München,BAY,https://img.uefa.com/imgml/TP/teams/logos/240x240/50037.png,250070417,https://img.uefa.com/imgml/TP/players/1/2024/324x324/250070417.jpg,2023-24
Gianluigi Donnarumma,Italy,GOALKEEPER,GOALKEEPER,27,1999-02-25,12,1080,0,0,0,2,0,Paris Saint-Germain,PSG,https://img.uefa.com/imgml/TP/teams/logos/240x240/52747.png,250078922,https://img.uefa.com/imgml/TP/players/1/2024/324x324/250078922.jpg,2023-24
Gregor Kobel,Switzerland,GOALKEEPER,GOALKEEPER,28,1997-12-06,12,1080,0,0,0,0,0,Borussia Dortmund,BVB,https://img.uefa.com/imgml/TP/teams/logos/240x240/52758.png,250069832,https://img.uefa.com/imgml/TP/players/1/2024/324x324/250069832.jpg,2023-24
Federico Valverde,Uruguay,MIDFIELDER,UNKNOWN,27,1998-07-22,13,1068,1,1,0,0,0,Real Madrid C.F.,RMA,https://img.uefa.com/imgml/TP/teams/logos/240x240/50051.png,250101284,https://img.uefa.com/imgml/TP/players/1/2024/324x324/250101284.jpg,2023-24
Harry Kane,England,FORWARD,STRIKER,32,1993-07-28,12,1064,8,4,3,1,0,FC Bayern München,BAY,https://img.uefa.com/imgml/TP/teams/logos/240x240/50037.png,250016833,https://img.uefa.com/imgml/TP/players/1/2024/324x324/250016833.jpg,2023-24
Niclas Füllkrug,Germany,FORWARD,UNKNOWN,33,1993-02-09,13,1040,3,2,0,0,0,Borussia Dortmund,BVB,https://img.uefa.com/imgml/TP/teams/logos/240x240/52758.png,250041844,https://img.uefa.com/imgml/TP/players/1/2024/324x324/250041844.jpg,2023-24
Antonio Rüdiger,Germany,DEFENDER,CENTRE_BACK,33,1993-03-03,12,1039,0,1,0,0,0,Real Madrid C.F.,RMA,https://img.uefa.com/imgml/TP/teams/logos/240x240/50051.png,250028211,https://img.uefa.com/imgml/TP/players/1/2024/324x324/250028211.jpg,2023-24
Rodrygo,Brazil,FORWARD,WINGER,25,2001-01-09,13,1021,5,2,0,0,0,Real Madrid C.F.,RMA,https://img.uefa.com/imgml/TP/teams/logos/240x240/50051.png,250132829,https://img.uefa.com/imgml/TP/players/1/2024/324x324/250132829.jpg,2023-24
