name,nation,position,age,matches_played,minutes_played,goals,assists,penalties_scored,yellow_cards,red_cards,team_name
Samuel Dahl,Sweden,DEFENDER,22,3.0,155.0,0.0,0.0,0.0,0.0,0.0,Benfica
Idjessi Metsoko,France,FORWARD,23,7.0,154.0,1.0,0.0,0.0,0.0,0.0,S. Bratislava
Bruno Duarte,Brazil,FORWARD,29,7.0,153.0,0.0,0.0,0.0,0.0,0.0,Crvena Zvezda
Yussuf Poulsen,Denmark,FORWARD,30,6.0,153.0,1.0,0.0,0.0,0.0,0.0,Leipzig
Hyunjun,Korea Republic,MIDFIELDER,22,6.0,153.0,0.0,1.0,0.0,0.0,0.0,Celtic
Daouda Guindo,Mali,DEFENDER,22,4.0,153.0,1.0,0.0,0.0,1.0,0.0,Salzburg
Couhaib Driouech,Netherlands,FORWARD,23,5.0,152.0,1.0,0.0,0.0,0.0,0.0,PSV
Abel Ruiz,Spain,FORWARD,25,3.0,147.0,0.0,0.0,0.0,0.0,0.0,Girona
Adamo Nagalo,Burkina Faso,DEFENDER,22,5.0,145.0,0.0,0.0,0.0,0.0,0.0,PSV
Yannik Keitel,Germany,MIDFIELDER,25,4.0,145.0,1.0,0.0,0.0,1.0,0.0,Stuttgart
Vladimír Weiss,Slovakia,MIDFIELDER,35,3.0,145.0,0.0,0.0,0.0,1.0,0.0,S. Bratislava
Renato Sanches,Portugal,MIDFIELDER,27,4.0,144.0,0.0,0.0,0.0,1.0,0.0,Benfica
Lassina Traoré,Burkina Faso,DEFENDER,18,6.0,143.0,0.0,0.0,0.0,1.0,0.0,Shakhtar
Rodrigo Riquelme,Spain,MIDFIELDER,25,5.0,143.0,0.0,0.0,0.0,0.0,0.0,Atleti
Arda Güler,Türkiye,MIDFIELDER,20,7.0,142.0,0.0,0.0,0.0,0.0,0.0,Real Madrid
Lucas Beraldo,Brazil,DEFENDER,21,4.0,142.0,0.0,0.0,0.0,0.0,0.0,Paris
Guélor Kanga,Gabon,MIDFIELDER,34,5.0,141.0,1.0,0.0,0.0,0.0,0.0,Crvena Zvezda
Casper Nielsen,Denmark,MIDFIELDER,31,6.0,140.0,1.0,0.0,0.0,1.0,0.0,Club Brugge
Wataru Endo,Japan,MIDFIELDER,32,6.0,140.0,0.0,0.0,0.0,0.0,0.0,Liverpool
Lamare Bogarde,Netherlands,DEFENDER,21,4.0,140.0,0.0,0.0,0.0,0.0,0.0,Aston Villa
El Bilal Touré,Mali,FORWARD,23,4.0,139.0,1.0,0.0,0.0,0.0,0.0,Stuttgart
Meschack Elia,DR Congo,FORWARD,27,5.0,138.0,0.0,0.0,0.0,2.0,0.0,Young Boys
Mohamed Bayo,Rep of Guinea,FORWARD,26,3.0,138.0,0.0,0.0,0.0,0.0,0.0,Lille
Endrick,Brazil,FORWARD,18,9.0,136.0,1.0,0.0,0.0,2.0,0.0,Real Madrid
Lovro Zvonarek,Croatia,MIDFIELDER,19,6.0,136.0,0.0,0.0,0.0,0.0,0.0,Sturm Graz
Alaa Ghram,Tunisia,DEFENDER,23,2.0,135.0,0.0,0.0,0.0,1.0,0.0,Shakhtar
Pascal Stenzel,Germany,DEFENDER,29,5.0,131.0,0.0,0.0,0.0,1.0,0.0,Stuttgart
Jonas Hofmann,Germany,MIDFIELDER,32,4.0,131.0,0.0,1.0,0.0,0.0,0.0,Leverkusen
Amady Camara,Mali,FORWARD,19,4.0,131.0,0.0,0.0,0.0,0.0,0.0,Sturm Graz
Jakub Pešek,Czechia,MIDFIELDER,31,2.0,130.0,0.0,0.0,0.0,1.0,0.0,Sparta Praha
Jens Odgaard,Denmark,FORWARD,26,5.0,128.0,0.0,1.0,0.0,1.0,0.0,Bologna
Mario Hermoso,Spain,DEFENDER,29,2.0,128.0,0.0,0.0,0.0,1.0,0.0,Leverkusen
Nicolò Zaniolo,Italy,FORWARD,25,7.0,127.0,1.0,0.0,0.0,1.0,0.0,Atalanta
Axel Disasi,France,DEFENDER,27,3.0,126.0,0.0,0.0,0.0,0.0,0.0,Aston Villa
Justin Bijlow,Netherlands,GOALKEEPER,27,2.0,126.0,0.0,0.0,0.0,0.0,0.0,Feyenoord
Marco Brescianini,Italy,MIDFIELDER,25,6.0,124.0,1.0,0.0,0.0,1.0,0.0,Atalanta
Emiliano Buendía,Spain,MIDFIELDER,28,6.0,122.0,0.0,0.0,0.0,1.0,0.0,Leverkusen
Taras Stepanenko,Ukraine,MIDFIELDER,35,6.0,121.0,0.0,0.0,0.0,2.0,0.0,Shakhtar
Kieran Tierney,Scotland,DEFENDER,27,5.0,120.0,0.0,0.0,0.0,0.0,0.0,Arsenal
Joe Gomez,England,DEFENDER,27,4.0,119.0,0.0,0.0,0.0,1.0,0.0,Liverpool
Jaden Philogene,England,MIDFIELDER,23,3.0,119.0,0.0,0.0,0.0,0.0,0.0,Aston Villa
